key,0,1
#,,
int32,str,str
0,"TEXT_HEAVNZ903_01968_SEQ_00","瑪托雅的洞穴的二把手掃把正在唰唰唰唰地打掃衛生。"
1,"TEXT_HEAVNZ903_01968_SEQ_01","冒險者需要實現二把手掃把的願望來作為獲得知識的交換條件。從瑪托雅的洞穴前和薩雷安治學區的水坑西邊逆流而上，從<Sheet(EObj,2006072,0)/>汲取<Sheet(EventItem,2001768,0)/>。"
2,"TEXT_HEAVNZ903_01968_SEQ_02","獲得了<Sheet(EventItem,2001768,0)/>。將<Sheet(EventItem,2001768,0)/>交給瑪托雅的洞穴的二把手掃把。"
3,"TEXT_HEAVNZ903_01968_SEQ_03","雖然將<Sheet(EventItem,2001768,0)/>交給了二把手掃把，不過它並沒有想像中那麼感動。認真聽取二把手掃把的要求，找到它想要的東西。"
4,"TEXT_HEAVNZ903_01968_SEQ_04","對著二把手掃把流下眼淚。第一次看到眼淚的二把手掃把非常感動，將一些關於薩雷安的知識告訴了冒險者。但是，它並不知道瑪托雅的心願是什麼……"
5,"TEXT_HEAVNZ903_01968_SEQ_05",""
6,"TEXT_HEAVNZ903_01968_SEQ_06",""
7,"TEXT_HEAVNZ903_01968_SEQ_07",""
8,"TEXT_HEAVNZ903_01968_SEQ_08",""
9,"TEXT_HEAVNZ903_01968_SEQ_09",""
10,"TEXT_HEAVNZ903_01968_SEQ_10",""
11,"TEXT_HEAVNZ903_01968_SEQ_11",""
12,"TEXT_HEAVNZ903_01968_SEQ_12",""
13,"TEXT_HEAVNZ903_01968_SEQ_13",""
14,"TEXT_HEAVNZ903_01968_SEQ_14",""
15,"TEXT_HEAVNZ903_01968_SEQ_15",""
16,"TEXT_HEAVNZ903_01968_SEQ_16",""
17,"TEXT_HEAVNZ903_01968_SEQ_17",""
18,"TEXT_HEAVNZ903_01968_SEQ_18",""
19,"TEXT_HEAVNZ903_01968_SEQ_19",""
20,"TEXT_HEAVNZ903_01968_SEQ_20",""
21,"TEXT_HEAVNZ903_01968_SEQ_21",""
22,"TEXT_HEAVNZ903_01968_SEQ_22",""
23,"TEXT_HEAVNZ903_01968_SEQ_23",""
24,"TEXT_HEAVNZ903_01968_TODO_00","在龍堡內陸低地的西側尋找<Sheet(EObj,2006072,0)/>
獲得<Sheet(EventItem,2001768,0)/>"
