key,0,1
#,,
offset,0,4
int32,str,str
0,TEXT_FESANV901_04765_SEQ_00,※本任務是特定期間內的任務。<hex:02100103><hex:02100103>紅玉大路國際市場的琪琵．嘉奇亞好像在為什麼事情發愁。(翻譯:塔塔露node/螢詩月)
1,TEXT_FESANV901_04765_SEQ_01,※本任務僅在季節性活動期間內可接受和進行。<hex:02100103>請注意，活動結束後將無法繼續進行。<hex:02100103>有關期限等詳細信息請參閱Lodestone。<hex:02100103><hex:02100103>琪琵．嘉奇亞要求你收集弟弟的情報。請去紅玉大路國際市場附近詢問其他人。
2,TEXT_FESANV901_04765_SEQ_02,聽取了人們的話，得知納吉·阿·嘉奇亞接受了一位異國的詩人的委託。請在來生回廊的黃金廣場與「異國的詩人」交談。
3,TEXT_FESANV901_04765_SEQ_03,與異國的詩人交談完畢。請與在烏爾達哈的流砂屋附近的「琪琵．嘉奇亞」會合。
4,TEXT_FESANV901_04765_SEQ_04,與琪琵．嘉奇亞會合並分享關於納吉的情報。請在中薩納蘭的黑塵驛站與「琪琵．嘉奇亞」交談。
5,TEXT_FESANV901_04765_SEQ_05,發現了遭到襲擊的運輸馬車並幫助了納吉·阿·嘉奇亞。請陪同他完成報告，然後與在烏爾達哈黃金廣場的「異國的詩人」交談。
6,TEXT_FESANV901_04765_SEQ_06,與異國的詩人交談後。納吉·阿·嘉奇亞的任務已經完成，但他的姐姐反對他繼續當冒險者。為了問清楚她的真意，請與在烏爾達哈黃金廣場的「琪琵．嘉奇亞」交談。
7,TEXT_FESANV901_04765_SEQ_07,與琪琵．嘉奇亞交談完畢。她似乎對弟弟單獨行動的行為感到擔心。再次與琪琵．嘉奇亞交談，詢問她希望你做些什麼一個才是好主意。
8,TEXT_FESANV901_04765_SEQ_08,
9,TEXT_FESANV901_04765_SEQ_09,
10,TEXT_FESANV901_04765_SEQ_10,
11,TEXT_FESANV901_04765_SEQ_11,
12,TEXT_FESANV901_04765_SEQ_12,
13,TEXT_FESANV901_04765_SEQ_13,
14,TEXT_FESANV901_04765_SEQ_14,
15,TEXT_FESANV901_04765_SEQ_15,
16,TEXT_FESANV901_04765_SEQ_16,
17,TEXT_FESANV901_04765_SEQ_17,
18,TEXT_FESANV901_04765_SEQ_18,
19,TEXT_FESANV901_04765_SEQ_19,
20,TEXT_FESANV901_04765_SEQ_20,
21,TEXT_FESANV901_04765_SEQ_21,
22,TEXT_FESANV901_04765_SEQ_22,
23,TEXT_FESANV901_04765_SEQ_23,
24,TEXT_FESANV901_04765_TODO_00,在紅玉大路國際市場附近收集情報
25,TEXT_FESANV901_04765_TODO_01,和黃金廣場的異國的詩人對話
26,TEXT_FESANV901_04765_TODO_02,和流沙屋附近的琪琵．嘉奇亞對話
27,TEXT_FESANV901_04765_TODO_03,和黑塵驛站的琪琵．嘉奇亞對話
28,TEXT_FESANV901_04765_TODO_04,和黃金廣場的異國的詩人對話
29,TEXT_FESANV901_04765_TODO_05,和琪琵．嘉奇亞對話
30,TEXT_FESANV901_04765_TODO_06,
31,TEXT_FESANV901_04765_TODO_07,
32,TEXT_FESANV901_04765_TODO_08,
33,TEXT_FESANV901_04765_TODO_09,
34,TEXT_FESANV901_04765_TODO_10,
35,TEXT_FESANV901_04765_TODO_11,
36,TEXT_FESANV901_04765_TODO_12,
37,TEXT_FESANV901_04765_TODO_13,
38,TEXT_FESANV901_04765_TODO_14,
39,TEXT_FESANV901_04765_TODO_15,
40,TEXT_FESANV901_04765_TODO_16,
41,TEXT_FESANV901_04765_TODO_17,
42,TEXT_FESANV901_04765_TODO_18,
43,TEXT_FESANV901_04765_TODO_19,
44,TEXT_FESANV901_04765_TODO_20,
45,TEXT_FESANV901_04765_TODO_21,
46,TEXT_FESANV901_04765_TODO_22,
47,TEXT_FESANV901_04765_TODO_23,
48,TEXT_FESANV901_04765_KIPIHJAKKYA_000_001,哎呀……你是冒險者<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>嗎？<hex:02100103>真是巧合，好久不見！<hex:02100103>我是「渡鴉周刊」的記者琪琵．嘉奇亞！
49,TEXT_FESANV901_04765_KIPIHJAKKYA_000_002,哎呀，是<hex:022C0DFF07><hex:022903EB0203><hex:FF02> <hex:0203>？<hex:02100103>好久不見，我是「渡鴉周刊」的記者琪琵．嘉奇亞！<hex:02100103>謝謝你在金碟遊樂場的採訪中的照顧。
50,TEXT_FESANV901_04765_KIPIHJAKKYA_000_003,能在這個時候遇見你真是太幸運了！<hex:02100103>我其實有點困擾……<hex:02100103>不好意思突然這樣，能聽我說一下嗎？
51,TEXT_FESANV901_04765_KIPIHJAKKYA_000_004,哎呀，你是冒險者嗎？<hex:02100103>我是「渡鴉周刊」的記者琪琵．嘉奇亞，有什麼事情……
52,TEXT_FESANV901_04765_KIPIHJAKKYA_000_005,不，這可能是個機會吧？<hex:02100103>我正遇到一些問題……<hex:02100103>能聽我說一下嗎？
53,TEXT_FESANV901_04765_KIPIHJAKKYA_000_006,其實我弟弟前段時間寄了封信給我，<hex:02100103>內容是「新生慶典期間在烏爾達哈見面」。<hex:02100103>但是那孩子過了約定的時間還是一直沒出現！
54,TEXT_FESANV901_04765_KIPIHJAKKYA_000_007,找了一下也找不到線索……<hex:02100103>我開始擔心他出了什麼事情。<hex:02100103>如果可以的話，能幫我找找他嗎？可以拜託你嗎？
55,TEXT_FESANV901_04765_KIPIHJAKKYA_000_008,謝謝，真的很感激！
56,TEXT_FESANV901_04765_KIPIHJAKKYA_000_009,我弟弟的名字是納吉·阿·嘉奇亞！<hex:02100103>他16歲左右，頭髮顏色和我很像，身高也差不多……<hex:02100103>他最近才成為了一名冒險者，一直是我的憧憬。
57,TEXT_FESANV901_04765_KIPIHJAKKYA_000_010,對了，你也是冒險者的話……<hex:02100103>作為同行你會有了解什嗎？
58,TEXT_FESANV901_04765_Q1_000_000,怎麼回答呢？
59,TEXT_FESANV901_04765_A1_000_001,對那個名字沒有印象
60,TEXT_FESANV901_04765_A1_000_002,沒有
61,TEXT_FESANV901_04765_A1_000_003,之前在新生慶典見過
62,TEXT_FESANV901_04765_KIPIHJAKKYA_000_011,嗯，是這樣呢……。<hex:02100103>如果在城裡找不到他，<hex:02100103>是不是有什麼事情出去了呢？
63,TEXT_FESANV901_04765_KIPIHJAKKYA_000_012,咦，你在上一次的新生慶典上見過他？<hex:02100103>你是幫忙他確認冒險者註冊的人？<hex:02100103>這……真是太巧了！
64,TEXT_FESANV901_04765_KIPIHJAKKYA_000_013,但是想必你也不知道他現在在哪裡吧。<hex:02100103>如果不在城裡，是不是有什麼事情出去了呢……。
65,TEXT_FESANV901_04765_KIPIHJAKKYA_000_014,如果是這樣的話……<hex:02100103>嗯，就當納吉去了別的地方，<hex:02100103>我們分頭搜集情報吧！
